Column	Type	Name	Size	Score	P value	Benj. Hoch. FDR	Mean	Median
#!{Type}C	C	C	N	N	N	N	N	N
LFQ intensity 401#1	Gene Ontology (biological process)	translation [GO:0006412]	57	0.88396006387941	7.78005664585792E-30	3.9756089460334E-27	34.9571523164448	35.2463989257813
LFQ intensity 401#1	Keywords	Ribonucleoprotein	53	0.913732546245517	1.00086175002147E-29	2.82243013506055E-27	35.1742771076706	35.2971000671387
LFQ intensity 401#1	Gene Ontology (molecular function)	structural constituent of ribosome [GO:0003735]	53	0.912623393268674	1.17071520889959E-29	1.05013154238294E-26	35.1691865021328	35.2971000671387
LFQ intensity 401#2	Gene Ontology (biological process)	translation [GO:0006412]	57	0.880733735380117	1.23090601116924E-29	6.2899297170748E-27	34.8968278985274	35.1557998657227
LFQ intensity 401#1	Keywords	Ribosomal protein	52	0.918206467162081	1.74335044102231E-29	2.45812412184146E-27	35.2230516580435	35.3262004852295
LFQ intensity 401#2	Gene Ontology (molecular function)	structural constituent of ribosome [GO:0003735]	53	0.907914726782651	2.24405571394553E-29	2.01291797540914E-26	35.1002923137737	35.25
LFQ intensity 401#2	Keywords	Ribonucleoprotein	53	0.907057093849547	2.53139709070312E-29	7.1385397957828E-27	35.0960696598269	35.25
LFQ intensity 401#4	Gene Ontology (biological process)	translation [GO:0006412]	57	0.872608429223123	3.95801480694565E-29	2.02254556634923E-26	34.6996350204736	34.910099029541
LFQ intensity 401#3	Gene Ontology (biological process)	translation [GO:0006412]	57	0.872484436898698	4.00608190626985E-29	2.04710785410389E-26	34.7381861837287	34.9443016052246
LFQ intensity 401#2	Keywords	Ribosomal protein	52	0.911870413817202	4.15573191875179E-29	5.85958200544003E-27	35.1451171361483	35.2833995819092
LFQ intensity 401#3	Keywords	Ribonucleoprotein	53	0.901799373497487	5.18486414508564E-29	1.46213168891415E-26	34.9467115222283	35.0306015014648
LFQ intensity 401#4	Keywords	Ribonucleoprotein	53	0.900645161290323	6.12442936833244E-29	1.72708908186975E-26	34.8988414260576	35.0679016113281
