Column	Type	Name	Size	Score	P value	Benj. Hoch. FDR	Mean	Median
#!{Type}C	C	C	N	N	N	N	N	N
Student's T-test Difference LIM_Fe100uM	Keywords	Ribonucleoprotein	56	-0.462277006937562	3.44347743061145E-09	1.01238236459977E-06	-0.232975542545319	-0.135524749755859
Student's T-test Difference LIM_Fe100uM	Keywords	Ribosomal protein	55	-0.465577018325904	3.6528336028451E-09	5.3696653961823E-07	-0.236793717471036	-0.138323783874512
Student's T-test Difference LIM_Fe100uM	Gene Ontology (molecular function)	structural constituent of ribosome [GO:0003735]	54	-0.467500916758343	4.33367534786746E-09	4.47668663434709E-06	-0.240259797484786	-0.144987106323242
Student's T-test Difference LIM_Fe100uM	Gene Ontology (biological process)	translation [GO:0006412]	59	-0.445607099297641	5.15542371500489E-09	2.89219270411774E-06	-0.228586107997571	-0.132725715637207
Student's T-test Difference LIM_Fe10uM	Keywords	Ribosomal protein	55	-0.421495789995047	9.26126099099685E-08	2.72281073135307E-05	-0.101144175095992	-0.17192554473877
Student's T-test Difference LIM_Fe10uM	Keywords	Ribonucleoprotein	56	-0.416961631034971	9.83784412827989E-08	1.44616308685714E-05	-0.0992911458015442	-0.171375274658203
Student's T-test Difference LIM_Fe10uM	Gene Ontology (molecular function)	structural constituent of ribosome [GO:0003735]	54	-0.423414008067473	1.05331085874246E-07	0.000108807011708096	-0.102064892097756	-0.173263072967529
Student's T-test Difference LIM_Fe10uM	Gene Ontology (molecular function)	4 iron, 4 sulfur cluster binding [GO:0051539]	36	-0.499263984298332	2.71776260756757E-07	0.000140372438680865	-0.362417327033149	-0.212499618530273
Student's T-test Difference LIM_Fe10uM	Keywords	Iron-sulfur	48	-0.424255511681474	4.88958368984055E-07	4.79179201604374E-05	-0.308609962463379	-0.201149940490723
Student's T-test Difference LIM_Fe10uM	Keywords	4Fe-4S	34	-0.480334486735871	1.50890043661545E-06	0.000110904182091235	-0.350590411354514	-0.212499618530273
Student's T-test Difference LIM_Fe10uM	Keywords	RNA-binding	90	-0.29923835125448	1.5247763225835E-06	8.96568477679098E-05	-0.0677997536129422	-0.0651504993438721
Student's T-test Difference LIM_Fe10uM	Gene Ontology (biological process)	translation [GO:0006412]	59	-0.364999789712747	1.70745663133918E-06	0.000957883170181277	-0.0754810026136495	-0.167374610900879
Student's T-test Difference LIM_Fe100uM	Gene Ontology (cellular component)	ribonucleoprotein complex [GO:1990904]	40	-0.4375	2.0851883049325E-06	0.000154303934565005	-0.253613293170929	-0.135524749755859
Student's T-test Difference LIM_Fe10uM	Keywords	rRNA-binding	42	-0.426427165354331	2.17143874793745E-06	0.000106400498648935	-0.122955481211344	-0.168900489807129
Student's T-test Difference LIM_Fe100uM	Gene Ontology (cellular component)	ribosome [GO:0005840]	42	-0.414288057742782	4.18583621566905E-06	0.000154875939979755	-0.23737637201945	-0.115650177001953
Student's T-test Difference LIM_Fe10uM	Gene Ontology (molecular function)	rRNA binding [GO:0019843]	39	-0.403855603855604	1.51802393021319E-05	0.00522706239970075	-0.110585995209523	-0.148300170898438
Student's T-test Difference LIM_Fe10uM	Gene Ontology (cellular component)	ribosome [GO:0005840]	42	-0.380858642669666	2.33069543485527E-05	0.0017247146217929	-0.0760263147808257	-0.144587993621826
Student's T-test Difference Fe10uM_Fe100uM	Keywords	Iron-sulfur	48	0.353847894044094	2.71982498875887E-05	0.00799628546695108	0.237985829512278	0.13241171836853
Student's T-test Difference LIM_Fe100uM	Keywords	RNA-binding	90	-0.257610887096774	3.48642532887876E-05	0.00341669682230118	-0.0521722316741943	-0.0211877822875977
Student's T-test Difference LIM_Fe100uM	Keywords	rRNA-binding	42	-0.372058961379828	3.58289555631825E-05	0.00263342823389391	-0.0998512222653344	-0.0865998268127441
Student's T-test Difference LIM_Fe10uM	Gene Ontology (cellular component)	ribonucleoprotein complex [GO:1990904]	40	-0.379400196656834	3.87421843789296E-05	0.0014334608220204	-0.0750200986862183	-0.157837390899658
Student's T-test Difference Fe10uM_Fe100uM	Keywords	Iron	86	0.248350568527444	9.43897666137636E-05	0.0138752956922233	0.174071184424467	0.119349956512451
Student's T-test Difference LIM_Fe10uM	Keywords	Histidine biosynthesis	9	-0.709012644605865	0.000237616965343355	0.0099799125444209	-0.39766428205702	-0.434474945068359
