LIM	Fe10uM	Fe100uM	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	id
#!{Type}E	E	E	C	C	C	N	N	N	N	N	N	N	N	N	N	N	T	T	T
#!{C:Grouping1}LIM	Fe10uM	Fe100uM																	
35.3027305603027	35.2682914733887	35.181324005127				47	47	47	73.3	73.3	73.3	88.58	0	323.31	471970000000	1316	A6T4E2	A6T4E2	0
32.6914367675781	32.6026611328125	32.3506698608398				10	10	10	53.1	53.1	53.1	33.249	0	236.71	72730000000	282	A6T4E3	A6T4E3	1
35.4782066345215	35.3129501342773	35.4133911132813				29	29	29	84.7	84.7	84.7	46.695	0	323.31	519120000000	1098	A6T4E4	A6T4E4	2
30.9347095489502	31.0514163970947	30.8910999298096				12	12	12	63.4	63.4	63.4	29.546	0	61.765	23908000000	113	A6T4E6	A6T4E6	3
36.342845916748	36.3922805786133	36.2478942871094				30	30	28	83.3	83.3	78.2	35.266	0	323.31	994660000000	1445	A6T4E8	A6T4E8	4
30.0992736816406	29.8354434967041	29.819408416748				8	8	8	55.9	55.9	55.9	21.289	0	22.528	11735000000	97	A6T4E9	A6T4E9	5
36.8237380981445	36.7365417480469	36.9005126953125				58	58	58	83.4	83.4	83.4	69.108	0	323.31	1417900000000	2667	A6T4F4	A6T4F4	7
32.6728973388672	32.6665153503418	32.617301940918				19	19	19	49.6	49.6	49.6	41.01	0	229.48	77028000000	359	A6T4F5	A6T4F5	8
34.4343910217285	34.606330871582	34.6224670410156				4	4	4	50.8	50.8	50.8	6.7349	0	46.662	297040000000	338	A6T4F8	A6T4F8	10
30.8141250610352	30.7562828063965	30.933723449707				12	12	12	52.2	52.2	52.2	34.371	0	93.794	21849000000	129	A6T4F9	A6T4F9	11
34.771369934082	34.7317543029785	34.7835693359375				47	47	47	63.3	63.3	63.3	102.72	0	323.31	334310000000	943	A6T4G0	A6T4G0	12
30.6247730255127	30.5015392303467	30.6410503387451				5	5	5	57.7	57.7	57.7	16.155	0	127.45	18943000000	74	A6T4G2	A6T4G2	14
29.7627410888672	30.1123676300049	29.8672313690186				15	15	15	49.1	49.1	49.1	34.447	0	29.437	11667000000	95	A6T4G3	A6T4G3	15
27.9157123565674	27.6869773864746	27.4506797790527				3	3	3	17.8	17.8	17.8	32.674	0	30.962	2256300000	24	A6T4G4	A6T4G4	16
32.4032821655273	32.8861541748047	32.6198654174805				18	18	18	74.4	74.4	74.4	28.647	0	199.6	77099000000	341	A6T4H8	A6T4H8	17
33.3604545593262	33.777286529541	33.7704582214355				16	16	16	66	66	66	42.165	0	214.86	158830000000	444	A6T4H9	A6T4H9	18
35.1691741943359	35.7449073791504	35.4997901916504				65	65	65	66.9	66.9	66.9	118	0	323.31	553700000000	1468	A6T4I0	A6T4I0	19
30.8179702758789	29.6688613891602	29.855281829834				3	3	3	50.6	50.6	50.6	8.2341	0	44.027	14743000000	50	A6T4I1	A6T4I1	20
28.7635707855225	28.3398685455322	28.1292533874512				5	5	5	52.5	52.5	52.5	17.889	0	16.757	4178100000	37	A6T4I2	A6T4I2	21
28.9589042663574	28.6531085968018	28.8653144836426				12	12	12	22.5	22.5	22.5	67.348	0	7.2171	5416200000	49	A6T4I3	A6T4I3	22
29.8800468444824	29.7543125152588	29.64475440979				6	6	6	24.5	24.5	24.5	17.965	0	17.554	10465000000	63	A6T4I4	A6T4I4	23
28.6178817749023	28.8514995574951	28.8200035095215				6	6	6	35.5	35.5	35.5	31.607	0	22.384	5232600000	49	A6T4I5	A6T4I5	24
32.434944152832	32.4897918701172	32.1353378295898				4	4	4	27.7	27.7	27.7	13.335	0	6.3197	63327000000	64	A6T4I6	A6T4I6	25
29.4373893737793	29.6910438537598	29.6517734527588				8	8	8	34.1	34.1	34.1	30.582	0	59.347	9230600000	44	A6T4I7	A6T4I7	26
30.5079650878906	30.1989517211914	30.2798271179199				13	13	13	61.1	61.1	61.1	35.133	0	80.827	15535000000	94	A6T4I8	A6T4I8	27
33.3047332763672	33.2768325805664	33.261589050293				21	21	21	61.9	61.9	61.9	47.062	0	323.31	119040000000	312	A6T4I9	A6T4I9	28
33.2380142211914	33.1661071777344	33.063304901123				40	40	40	63.4	63.4	63.4	88.487	0	323.31	109280000000	531	A6T4J0	A6T4J0	29
30.165979385376	29.9697666168213	29.9712142944336				14	14	14	51.3	51.3	51.3	30.959	0	94.317	12598000000	108	A6T4J1	A6T4J1	30
NaN	26.8444499969482	NaN				3	3	3	19.4	19.4	19.4	26.199	0	2.8528	1303200000	6	A6T4J2	A6T4J2	31
31.7512016296387	31.982967376709	31.8530864715576				36	36	36	50.4	50.4	50.4	109.61	0	209.07	44542000000	291	A6T4J7	A6T4J7	33
28.1909065246582	28.5304107666016	28.3994960784912				7	7	7	40.8	40.8	40.8	25.164	0	12.281	4013900000	24	A6T4K4	A6T4K4	34
25.4009284973145	NaN	25.6607971191406				2	2	2	4.5	4.5	4.5	58.901	0.0056943	0.2256	539460000	2	A6T4K5	A6T4K5	35
33.8825187683105	33.7924690246582	33.6184768676758				16	16	16	58.4	58.4	58.4	36.091	0	207.64	168430000000	466	A6T4K6	A6T4K6	36
30.2201862335205	30.0867938995361	29.950159072876				11	11	11	51	51	51	27.251	0	56.594	13060000000	96	A6T4L2	A6T4L2	38
32.7828216552734	32.547534942627	32.7026481628418				7	7	7	62.2	62.2	62.2	22.597	0	130.06	79496000000	207	A6T4L6	A6T4L6	39
34.4742546081543	34.6920013427734	34.7800445556641				22	22	22	53.6	53.6	53.6	49.828	0	323.31	316080000000	653	A6T4L7	A6T4L7	40
34.9296035766602	34.7751541137695	34.8281402587891				21	21	21	71.9	71.9	71.9	39.502	0	323.31	357160000000	1387	A6T4L8	A6T4L8	41
35.4764099121094	35.3285446166992	35.4151229858398				34	34	34	76.5	76.5	76.5	57.513	0	323.31	526360000000	1060	A6T4L9	A6T4L9	42
34.4873085021973	34.4122543334961	34.4729270935059				30	30	30	58	58	58	63.071	0	323.31	273410000000	943	A6T4M1	A6T4M1	43
33.4830093383789	33.1440162658691	33.0959548950195				11	11	11	73.6	73.6	73.6	18.035	0	165.51	117450000000	259	A6T4M2	A6T4M2	44
30.6439456939697	30.5194072723389	30.5296077728271				11	11	11	49.4	49.4	49.4	38.095	0	68.745	18038000000	113	A6T4M3	A6T4M3	45
29.5730495452881	29.4285907745361	29.2002334594727				6	6	6	42.8	42.8	42.8	17.34	0	44.973	8448300000	43	A6T4M4	A6T4M4	46
30.9097652435303	31.0336608886719	31.0536060333252				13	13	13	56.5	56.5	56.5	34.839	0	104.16	24523000000	155	A6T4M5	A6T4M5	47
28.6180877685547	28.6618499755859	28.4670372009277				4	4	4	43	43	43	13.57	0	27.055	4728600000	58	A6T4M6	A6T4M6	48
29.4044494628906	29.4014587402344	29.3323974609375				12	12	12	28.2	28.2	28.2	64.002	0	29.138	8111200000	50	A6T4M7	A6T4M7	49
32.9797592163086	32.6774520874023	32.7399711608887				24	24	24	59.6	59.6	59.6	53.328	0	146.25	85792000000	377	A6T4M8	A6T4M8	50
