LFQ intensity 401#1	LFQ intensity 401#2	LFQ intensity 401#3	LFQ intensity 401#4	LFQ intensity WT#1	LFQ intensity WT#2	LFQ intensity WT#3	LFQ intensity WT#4	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Keywords	Length	N: MS/MS count	N: -Log Student's T-test p-value MT_WT	N: Student's T-test q-value MT_WT	N: Student's T-test Difference MT_WT	N: Student's T-test Test statistic MT_WT	Protein names	Gene Names	T: Protein IDs	T: Majority protein IDs	C: Only identified by site	C: Reverse	C: Potential contaminant	C: Student's T-test Significant MT_WT	C: Student's T-test significant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	T: id	Entry Name	Organism
#!{Type}E	E	E	E	E	E	E	E	C	C	C	C	N	N	N	N	N	N	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
29.5160999298096	29.6438007354736	29.3987998962402	29.0955009460449	29.4228000640869	29.300500869751	29.6583003997803	29.9986000061035	lysine biosynthetic process via diaminopimelate [GO:0009089];phosphorylation [GO:0016310];threonine biosynthetic process [GO:0009088]		aspartate kinase activity [GO:0004072];ATP binding [GO:0005524];homoserine dehydrogenase activity [GO:0004412];NADP binding [GO:0050661]	Amino-acid biosynthesis;ATP-binding;Kinase;Multifunctional enzyme;NADP;Nucleotide-binding;Oxidoreductase;Threonine biosynthesis;Transferase	820	37	0.415729	0.518724	-0.181482	-0.596276	Bifunctional aspartokinase/homoserine dehydrogenase [Includes: Aspartokinase (EC 2.7.2.4);Homoserine dehydrogenase (EC 1.1.1.3)]	thrA KPN_00002	A6T4E2	A6T4E2						13	13	13	18.9	18.9	18.9	88.58	0	23.168	6825100000	0	A6T4E2_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
31.3778991699219	31.5277996063232	31.354700088501	31.0606994628906	31.2385005950928	31.077299118042	31.3220996856689	30.8822994232178	threonine biosynthetic process [GO:0009088]		pyridoxal phosphate binding [GO:0030170];threonine synthase activity [GO:0004795]	Amino-acid biosynthesis;Pyridoxal phosphate;Threonine biosynthesis	426	123	0.70783	0.382456	0.200241	0.805017	Threonine synthase (EC 4.2.3.1)	thrC KPN_00004	A6T4E4	A6T4E4						18	18	18	52.1	52.1	52.1	46.695	0	315.98	20913000000	2	A6T4E4_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
29.5834007263184	29.7576007843018	30.369499206543	29.9407005310059	30.4235000610352	30.0464000701904	30.5182991027832	30.3241004943848					257	50	1.09781	0.152945	-0.415257	-1.34694	UPF0246 protein KPN78578_00060	KPN78578_00060 KPN_00006	A6T4E6	A6T4E6						13	13	13	66.5	66.5	66.5	29.546	0	60.79	9741800000	3	Y006_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
35.725700378418	35.6383018493652	35.488899230957	35.3507995605469	35.543399810791	35.396598815918	35.4059982299805	35.2855987548828	carbohydrate metabolic process [GO:0005975];pentose-phosphate shunt [GO:0006098]	cytoplasm [GO:0005737]	transaldolase activity [GO:0004801]	Cytoplasm;Pentose shunt;Schiff base;Transferase	317	955	0.709687	0.456311	0.143032	0.683695	Transaldolase (EC 2.2.1.2)	talB tal KPN_00008	A6T4E8;A6T7I8	A6T4E8						35	35	35	89.3	89.3	89.3	35.266	0	323.31	3.96E+11	4	A6T4E8_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
30.3195991516113	30.4878997802734	30.6674003601074	30.4496994018555	30.5998992919922	30.4713001251221	30.6387004852295	30.3148994445801	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]			Molybdenum cofactor biosynthesis	195	110	0.0889254	0.904326	-0.0250683	-0.117391	Molybdenum cofactor biosynthesis protein	mogA KPN_00009	A6T4E9	A6T4E9						10	10	10	49.7	49.7	49.7	21.289	0	52.924	12540000000	5	A6T4E9_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
37.6361999511719	37.6142997741699	37.4841003417969	37.339298248291	37.1557006835938	36.9572982788086	36.9505004882813	37.0167999267578			ATP binding [GO:0005524];ATP-dependent protein folding chaperone [GO:0140662];unfolded protein binding [GO:0051082]	ATP-binding;Chaperone;Nucleotide-binding;Phosphoprotein;Stress response	638	2832	3.00608	0.0316694	0.49841	2.56227	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK KPN78578_00140 KPN_00014	A6T4F4	A6T4F4				+	MT_WT	73	73	73	81.7	81.7	81.7	69.108	0	323.31	1.42E+12	6	DNAK_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
32.9165992736816	32.7486991882324	32.6306991577148	32.7215003967285	32.4422988891602	32.1455993652344	32.2817993164063	32.3757019042969	DNA replication [GO:0006260];protein folding [GO:0006457];response to heat [GO:0009408]	cytoplasm [GO:0005737]	ATP binding [GO:0005524];heat shock protein binding [GO:0031072];unfolded protein binding [GO:0051082];zinc ion binding [GO:0008270]	Chaperone;Cytoplasm;DNA replication;Metal-binding;Repeat;Stress response;Zinc;Zinc-finger	377	246	2.63192	0.0457381	0.443011	2.22812	Chaperone protein DnaJ	dnaJ KPN78578_00150 KPN_00015	A6T4F5	A6T4F5				+	MT_WT	23	23	23	53.8	53.8	53.8	41.01	0	289.11	52116000000	7	DNAJ_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
35.3823013305664	35.1800994873047	34.7341003417969	34.6100997924805	34.9421997070313	34.6677017211914	34.8628997802734	34.6199989318848	translation [GO:0006412]	ribonucleoprotein complex [GO:1990904];ribosome [GO:0005840]	rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735]	Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding	61	355	0.46368	0.474729	0.203431	0.65817	30S ribosomal protein S20	rpsT KPN_00018	A6T4F8	A6T4F8						8	8	8	68.9	68.9	68.9	6.7349	0	98.867	2.68E+11	8	A6T4F8_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
26.6858005523682	27.4146995544434	27.8840999603271	28.1284999847412	27.656400680542	28.5627002716064	28.4962005615234	28.960599899292	FAD biosynthetic process [GO:0006747];FMN biosynthetic process [GO:0009398];phosphorylation [GO:0016310];riboflavin biosynthetic process [GO:0009231]		ATP binding [GO:0005524];FMN adenylyltransferase activity [GO:0003919];riboflavin kinase activity [GO:0008531]	ATP-binding;FAD;Flavoprotein;FMN;Kinase;Nucleotide-binding;Nucleotidyltransferase;Transferase	312	41	1.10844	0.0917556	-0.890671	-1.67882	Riboflavin biosynthesis protein [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase);FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]	ribF KPN_00020	A6T4F9	A6T4F9						9	9	9	45.5	45.5	45.5	34.371	0	41.483	2389700000	9	A6T4F9_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
